file	extension	original_path	relative_path	bytes	sha256	magic_hex	wad_hash	resolved_game_path	purpose	relevance	referenced_by
01a79b9e0cbb70cf.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\01a79b9e0cbb70cf.tex	Braum.wad/01a79b9e0cbb70cf.tex	43716	ff9e62b7196ea41b75271a8b313b04d428eb7a27b7c5ec383fb56262641c6264	5445580000010001010a000124212529	01a79b9e0cbb70cf	assets/characters/braum/skins/skin11/particles/braum_skin11_q_fire_swirl.tex	League texture	other skin/shared; see reference graph	23b85b75eb659166.bin;2974de4048ee048b.bin;36b00af025f54940.bin;42ee6bdbfc9d170b.bin;4fe453abcf9c5181.bin;a44281cd843a8348.bin;bb8b47c7d87589f7.bin;d8a52eb470baa538.bin;e1dfd1a549890037.bin;ed7ecf9170cfaaf8.bin
01cfa5f10b46f0a8.anm	.anm	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\01cfa5f10b46f0a8.anm	Braum.wad/01cfa5f10b46f0a8.anm	67266	e44e6782628f5802c59200c37a438c418d3401f42b6cd4c0aae90e10f8af272b	7233643263616e6d01000000b6060100	01cfa5f10b46f0a8	assets/characters/braum/skins/skin11/animations/braum_skin11_spell3_punch-135.anm	Animation tracks	other skin/shared; see reference graph	e43dcf714c8a2a42.bin
01e11a2a0bcfcfe9.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\01e11a2a0bcfcfe9.tex	Braum.wad/01e11a2a0bcfcfe9.tex	43716	1dea5e39b9dbf9d43fa1d6de7025832decad2fc04559dd3c0b6ce90171a0cef5	5445580000010001010a000182100000	01e11a2a0bcfcfe9	assets/characters/braum/skins/skin51/particles/braum_skin51_e_shield_inchant_flash02.tex	League texture	other skin/shared; see reference graph	7a1193b055eb059a.bin
01e64517b55e2695.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\01e64517b55e2695.tex	Braum.wad/01e64517b55e2695.tex	21916	17686567eb0bc92faff294aff2c41c2729ad80e30ecc4a42a215a20c1e64a8b8	5445580000014000010c00011e1e0000	01e64517b55e2695	assets/characters/braum/skins/skin51/particles/braum_skin51_r_hit_orbit_tar.tex	League texture	other skin/shared; see reference graph	7a1193b055eb059a.bin
01feefb67666ef62.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\01feefb67666ef62.tex	Braum.wad/01feefb67666ef62.tex	21884	d84d32d7dae9670c7020aaa52c101594a9cb5a0412662dbd6feeefa047592acc	5445580080008000010c00011e1e0000	01feefb67666ef62	assets/characters/braum/skins/skin10/particles/braum_base_p_cooldowntimer.tex	League texture	other skin/shared; see reference graph	b8bd8d39ea1d1810.bin
0208e882507e2348.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\0208e882507e2348.tex	Braum.wad/0208e882507e2348.tex	5500	d502c1c112180e1886c304bfb0bb4330bbe4159a688799e756f82e830696f548	5445580040004000010c0001ffff0000	0208e882507e2348	assets/characters/braum/skins/skin51/particles/braum_skin51_r_smokeerode.tex	League texture	other skin/shared; see reference graph	07f65b37fb75e834.bin;08e5b232f3994eee.bin;3079df1f381a87bc.bin;6c66319ffa4bb738.bin;6d6176ab099f3064.bin;70c57eae58af6c94.bin;7a1193b055eb059a.bin;7ca837cacce9639a.bin;b511ce2cc52d55a4.bin;d01bf01d5611bc53.bin;d56c87aaf7fac0ee.bin
0209ebd5ec6e0c9d.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\0209ebd5ec6e0c9d.tex	Braum.wad/0209ebd5ec6e0c9d.tex	87420	65e31e186fd2bd720781e3f4aed60b5fa17860f0f82088408d31d6c0e8aa9af4	5445580000010001010c00011c1c0000	0209ebd5ec6e0c9d	assets/characters/braum/skins/skin51/particles/braum_skin51_ba_distort_tar.tex	League texture	other skin/shared; see reference graph	7a1193b055eb059a.bin
02250d0a74e08a42.anm	.anm	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\02250d0a74e08a42.anm	Braum.wad/02250d0a74e08a42.anm	22850	e4e5f7f43e784b764558cbd93f69e8e70d0e29ab0722dd5c71309b7070dd012c	72336432616e6d640500000036590000	02250d0a74e08a42	assets/characters/braum/skins/base/animations/braum_spell1.anm	Animation tracks	base or shared candidate	0b01eaec2c944f55.bin;57bea13d59e2af1a.bin;5e21202a9a0cef1a.bin;6c0cf3da2d377385.bin;72028fe917890575.bin;aa0aa8a7dd53a131.bin;d0fe19959c26552d.bin;de78a7f6bf5c9803.bin;e43dcf714c8a2a42.bin
0250f9835c595ea5.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\0250f9835c595ea5.tex	Braum.wad/0250f9835c595ea5.tex	2796228	3694a6b3a9215975d58579b7841995131a2ed7aa576e1ff98a7f478462bbf21c	5445580000080008010a0001686a8659	0250f9835c595ea5		League texture	other skin/shared; see reference graph	
025185223df531f0.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\025185223df531f0.tex	Braum.wad/025185223df531f0.tex	43716	a91ff068884c2f59bbb28ec857454bd6d1585618848886acbc92645218b0cafe	5445580000010001010a000120002108	025185223df531f0	assets/characters/braum/skins/skin33/particles/braum_skin33_recall_lighton_mask.tex	League texture	other skin/shared; see reference graph	ac2d2bd054d44f09.bin
0253bea1559988bd.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\0253bea1559988bd.tex	Braum.wad/0253bea1559988bd.tex	87420	46cde169d75085049953e83ca6cb06c31beba9d30315acf0024fb7625045427a	5445580000010001010c00014d4d0000	0253bea1559988bd	assets/characters/braum/skins/skin33/particles/jarvan_skin33_texture_recall_sand_8.tex	League texture	other skin/shared; see reference graph	25c2b1d3f80a7166.bin;399a7a520477b139.bin;3a207b8680fc4f78.bin;4af4d37cc3da7630.bin;775c4474dbe4b86c.bin;cf092c39484cec07.bin;f2aa871abddf9427.bin;f5df8e88540921e0.bin;ff9b3266cfca2ba6.bin
027780679f40d081.tex	.tex	C:\Users\etqdo\Downloads\Clash Braum project\Braum.wad\027780679f40d081.tex	Braum.wad/027780679f40d081.tex	87420	3cc9f92e2a8e3f6966eba319923450a597937f7e18448c7d0c50350ff3fe6ac0	5445580000010001010c000169690000	027780679f40d081	assets/characters/braum/skins/skin11/particles/braum_skin11_r_groundcrack.tex	League texture	other skin/shared; see reference graph	2974de4048ee048b.bin
